,,,,,,,,,,,,
,,,,,,,,,,,,
County Name,Priority Area Number,Priority Area,Indicator Number,Indicator,Event Count/Rate, ,Percentage/Rate/Ratio,Lower Limit of 95% CI,Upper Limit of 95% CI,Data Comments,Data Years,Date Source
Wyoming,2,Component 2: Asthma Hospital Discharge Data in New York State,ad13,"Asthma hospitalization rate per 10,000 - aged 5-11 years",s,"2,908",.,,,Data Suppressed,2018-2020,SPARCS data as of August 2022
Yates,2,Component 2: Asthma Hospital Discharge Data in New York State,ad13,"Asthma hospitalization rate per 10,000 - aged 5-11 years",s,"2,134",.,,,Data Suppressed,2018-2020,SPARCS data as of August 2022
Bronx,2,Component 2: Asthma Hospital Discharge Data in New York State,ad13,"Asthma hospitalization rate per 10,000 - aged 5-11 years","1,829","139,006",43.9,,,,2018-2020,SPARCS data as of August 2022
Kings,2,Component 2: Asthma Hospital Discharge Data in New York State,ad13,"Asthma hospitalization rate per 10,000 - aged 5-11 years","1,495","225,588",22.1,,,,2018-2020,SPARCS data as of August 2022
New York,2,Component 2: Asthma Hospital Discharge Data in New York State,ad13,"Asthma hospitalization rate per 10,000 - aged 5-11 years",636,"88,599",23.9,,,,2018-2020,SPARCS data as of August 2022
Queens,2,Component 2: Asthma Hospital Discharge Data in New York State,ad13,"Asthma hospitalization rate per 10,000 - aged 5-11 years",832,"174,936",15.9,,,,2018-2020,SPARCS data as of August 2022
Richmond,2,Component 2: Asthma Hospital Discharge Data in New York State,ad13,"Asthma hospitalization rate per 10,000 - aged 5-11 years",184,"40,148",15.3,,,,2018-2020,SPARCS data as of August 2022
Long Island,2,Component 2: Asthma Hospital Discharge Data in New York State,ad13,"Asthma hospitalization rate per 10,000 - aged 5-11 years",671,"231,159",9.7,,,,2018-2020,SPARCS data as of August 2022
New York City,2,Component 2: Asthma Hospital Discharge Data in New York State,ad13,"Asthma hospitalization rate per 10,000 - aged 5-11 years","4,976","668,277",24.8,,,,2018-2020,SPARCS data as of August 2022
Mid-Hudson,2,Component 2: Asthma Hospital Discharge Data in New York State,ad13,"Asthma hospitalization rate per 10,000 - aged 5-11 years",633,"200,623",10.5,,,,2018-2020,SPARCS data as of August 2022
Capital Region,2,Component 2: Asthma Hospital Discharge Data in New York State,ad13,"Asthma hospitalization rate per 10,000 - aged 5-11 years",150,"71,483",7,,,,2018-2020,SPARCS data as of August 2022
Mohawk Valley,2,Component 2: Asthma Hospital Discharge Data in New York State,ad13,"Asthma hospitalization rate per 10,000 - aged 5-11 years",20,"19,403",3.4,,,,2018-2020,SPARCS data as of August 2022
North Country,2,Component 2: Asthma Hospital Discharge Data in New York State,ad13,"Asthma hospitalization rate per 10,000 - aged 5-11 years",18,"21,193",2.9,,,,2018-2020,SPARCS data as of August 2022
Tug Hill Seaway,2,Component 2: Asthma Hospital Discharge Data in New York State,ad13,"Asthma hospitalization rate per 10,000 - aged 5-11 years",38,"21,410",5.9,,,,2018-2020,SPARCS data as of August 2022
Central NY,2,Component 2: Asthma Hospital Discharge Data in New York State,ad13,"Asthma hospitalization rate per 10,000 - aged 5-11 years",202,"81,555",8.3,,,,2018-2020,SPARCS data as of August 2022
Southern Tier,2,Component 2: Asthma Hospital Discharge Data in New York State,ad13,"Asthma hospitalization rate per 10,000 - aged 5-11 years",63,"30,763",6.8,,,,2018-2020,SPARCS data as of August 2022
Finger Lakes,2,Component 2: Asthma Hospital Discharge Data in New York State,ad13,"Asthma hospitalization rate per 10,000 - aged 5-11 years",362,"101,914",11.8,,,,2018-2020,SPARCS data as of August 2022
Western NY,2,Component 2: Asthma Hospital Discharge Data in New York State,ad13,"Asthma hospitalization rate per 10,000 - aged 5-11 years",341,"118,305",9.6,,,,2018-2020,SPARCS data as of August 2022
New York State (excluding NYC),2,Component 2: Asthma Hospital Discharge Data in New York State,ad13,"Asthma hospitalization rate per 10,000 - aged 5-11 years","2,498","897,808",9.3,,,,2018-2020,SPARCS data as of August 2022
New York State,2,Component 2: Asthma Hospital Discharge Data in New York State,ad13,"Asthma hospitalization rate per 10,000 - aged 5-11 years","7,474","1,566,085",15.9,,,,2018-2020,SPARCS data as of August 2022
Albany,2,Component 2: Asthma Hospital Discharge Data in New York State,ad14,"Asthma hospitalization rate per 10,000 - aged 12-17 years",19,"19,385",3.3,,,,2018-2020,SPARCS data as of August 2022
Allegany,2,Component 2: Asthma Hospital Discharge Data in New York State,ad14,"Asthma hospitalization rate per 10,000 - aged 12-17 years",s,"3,384",.,,,Data Suppressed,2018-2020,SPARCS data as of August 2022
Broome,2,Component 2: Asthma Hospital Discharge Data in New York State,ad14,"Asthma hospitalization rate per 10,000 - aged 12-17 years",18,"12,805",4.7,,,,2018-2020,SPARCS data as of August 2022
Cattaraugus,2,Component 2: Asthma Hospital Discharge Data in New York State,ad14,"Asthma hospitalization rate per 10,000 - aged 12-17 years",s,"5,985",.,,,Data Suppressed,2018-2020,SPARCS data as of August 2022
Cayuga,2,Component 2: Asthma Hospital Discharge Data in New York State,ad14,"Asthma hospitalization rate per 10,000 - aged 12-17 years",s,"5,389",.,,,Data Suppressed,2018-2020,SPARCS data as of August 2022
Chautauqua,2,Component 2: Asthma Hospital Discharge Data in New York State,ad14,"Asthma hospitalization rate per 10,000 - aged 12-17 years",s,"9,100",.,,,Data Suppressed,2018-2020,SPARCS data as of August 2022
Chemung,2,Component 2: Asthma Hospital Discharge Data in New York State,ad14,"Asthma hospitalization rate per 10,000 - aged 12-17 years",s,"6,193",.,,,Data Suppressed,2018-2020,SPARCS data as of August 2022
Chenango,2,Component 2: Asthma Hospital Discharge Data in New York State,ad14,"Asthma hospitalization rate per 10,000 - aged 12-17 years",0,"3,520",0,,,Unstable Estimate,2018-2020,SPARCS data as of August 2022
Clinton,2,Component 2: Asthma Hospital Discharge Data in New York State,ad14,"Asthma hospitalization rate per 10,000 - aged 12-17 years",0,"4,886",0,,,Unstable Estimate,2018-2020,SPARCS data as of August 2022
Columbia,2,Component 2: Asthma Hospital Discharge Data in New York State,ad14,"Asthma hospitalization rate per 10,000 - aged 12-17 years",s,"3,994",.,,,Data Suppressed,2018-2020,SPARCS data as of August 2022
Cortland,2,Component 2: Asthma Hospital Discharge Data in New York State,ad14,"Asthma hospitalization rate per 10,000 - aged 12-17 years",s,"3,255",.,,,Data Suppressed,2018-2020,SPARCS data as of August 2022
Delaware,2,Component 2: Asthma Hospital Discharge Data in New York State,ad14,"Asthma hospitalization rate per 10,000 - aged 12-17 years",s,"2,729",.,,,Data Suppressed,2018-2020,SPARCS data as of August 2022
Dutchess,2,Component 2: Asthma Hospital Discharge Data in New York State,ad14,"Asthma hospitalization rate per 10,000 - aged 12-17 years",47,"21,050",7.4,,,,2018-2020,SPARCS data as of August 2022
Erie,2,Component 2: Asthma Hospital Discharge Data in New York State,ad14,"Asthma hospitalization rate per 10,000 - aged 12-17 years",80,"64,798",4.1,,,,2018-2020,SPARCS data as of August 2022
Essex,2,Component 2: Asthma Hospital Discharge Data in New York State,ad14,"Asthma hospitalization rate per 10,000 - aged 12-17 years",0,"2,277",0,,,Unstable Estimate,2018-2020,SPARCS data as of August 2022
Franklin,2,Component 2: Asthma Hospital Discharge Data in New York State,ad14,"Asthma hospitalization rate per 10,000 - aged 12-17 years",s,"3,417",.,,,Data Suppressed,2018-2020,SPARCS data as of August 2022
Fulton,2,Component 2: Asthma Hospital Discharge Data in New York State,ad14,"Asthma hospitalization rate per 10,000 - aged 12-17 years",s,"3,859",.,,,Data Suppressed,2018-2020,SPARCS data as of August 2022
Genesee,2,Component 2: Asthma Hospital Discharge Data in New York State,ad14,"Asthma hospitalization rate per 10,000 - aged 12-17 years",0,"4,167",0,,,Unstable Estimate,2018-2020,SPARCS data as of August 2022
Greene,2,Component 2: Asthma Hospital Discharge Data in New York State,ad14,"Asthma hospitalization rate per 10,000 - aged 12-17 years",0,"2,787",0,,,Unstable Estimate,2018-2020,SPARCS data as of August 2022
Hamilton,2,Component 2: Asthma Hospital Discharge Data in New York State,ad14,"Asthma hospitalization rate per 10,000 - aged 12-17 years",0,244,0,,,Unstable Estimate,2018-2020,SPARCS data as of August 2022
Herkimer,2,Component 2: Asthma Hospital Discharge Data in New York State,ad14,"Asthma hospitalization rate per 10,000 - aged 12-17 years",6,"4,585",4.4,,,Unstable Estimate,2018-2020,SPARCS data as of August 2022
Jefferson,2,Component 2: Asthma Hospital Discharge Data in New York State,ad14,"Asthma hospitalization rate per 10,000 - aged 12-17 years",0,"7,712",0,,,Unstable Estimate,2018-2020,SPARCS data as of August 2022
Lewis,2,Component 2: Asthma Hospital Discharge Data in New York State,ad14,"Asthma hospitalization rate per 10,000 - aged 12-17 years",s,"2,108",.,,,Data Suppressed,2018-2020,SPARCS data as of August 2022
Livingston,2,Component 2: Asthma Hospital Discharge Data in New York State,ad14,"Asthma hospitalization rate per 10,000 - aged 12-17 years",0,"4,110",0,,,Unstable Estimate,2018-2020,SPARCS data as of August 2022
Madison,2,Component 2: Asthma Hospital Discharge Data in New York State,ad14,"Asthma hospitalization rate per 10,000 - aged 12-17 years",0,"4,952",0,,,Unstable Estimate,2018-2020,SPARCS data as of August 2022
Monroe,2,Component 2: Asthma Hospital Discharge Data in New York State,ad14,"Asthma hospitalization rate per 10,000 - aged 12-17 years",115,"53,726",7.1,,,,2018-2020,SPARCS data as of August 2022
Montgomery,2,Component 2: Asthma Hospital Discharge Data in New York State,ad14,"Asthma hospitalization rate per 10,000 - aged 12-17 years",s,"3,886",.,,,Data Suppressed,2018-2020,SPARCS data as of August 2022
Nassau,2,Component 2: Asthma Hospital Discharge Data in New York State,ad14,"Asthma hospitalization rate per 10,000 - aged 12-17 years",120,"104,679",3.8,,,,2018-2020,SPARCS data as of August 2022
Niagara,2,Component 2: Asthma Hospital Discharge Data in New York State,ad14,"Asthma hospitalization rate per 10,000 - aged 12-17 years",15,"14,805",3.4,,,,2018-2020,SPARCS data as of August 2022
Oneida,2,Component 2: Asthma Hospital Discharge Data in New York State,ad14,"Asthma hospitalization rate per 10,000 - aged 12-17 years",s,"16,581",.,,,Data Suppressed,2018-2020,SPARCS data as of August 2022
Onondaga,2,Component 2: Asthma Hospital Discharge Data in New York State,ad14,"Asthma hospitalization rate per 10,000 - aged 12-17 years",41,"33,908",4,,,,2018-2020,SPARCS data as of August 2022
Ontario,2,Component 2: Asthma Hospital Discharge Data in New York State,ad14,"Asthma hospitalization rate per 10,000 - aged 12-17 years",s,"8,089",.,,,Data Suppressed,2018-2020,SPARCS data as of August 2022
Orange,2,Component 2: Asthma Hospital Discharge Data in New York State,ad14,"Asthma hospitalization rate per 10,000 - aged 12-17 years",53,"34,369",5.1,,,,2018-2020,SPARCS data as of August 2022
Orleans,2,Component 2: Asthma Hospital Discharge Data in New York State,ad14,"Asthma hospitalization rate per 10,000 - aged 12-17 years",s,"2,873",.,,,Data Suppressed,2018-2020,SPARCS data as of August 2022
Oswego,2,Component 2: Asthma Hospital Discharge Data in New York State,ad14,"Asthma hospitalization rate per 10,000 - aged 12-17 years",s,"8,799",.,,,Data Suppressed,2018-2020,SPARCS data as of August 2022
Otsego,2,Component 2: Asthma Hospital Discharge Data in New York State,ad14,"Asthma hospitalization rate per 10,000 - aged 12-17 years",s,"3,353",.,,,Data Suppressed,2018-2020,SPARCS data as of August 2022
Putnam,2,Component 2: Asthma Hospital Discharge Data in New York State,ad14,"Asthma hospitalization rate per 10,000 - aged 12-17 years",7,"7,816",3,,,Unstable Estimate,2018-2020,SPARCS data as of August 2022
Rensselaer,2,Component 2: Asthma Hospital Discharge Data in New York State,ad14,"Asthma hospitalization rate per 10,000 - aged 12-17 years",6,"10,717",1.9,,,Unstable Estimate,2018-2020,SPARCS data as of August 2022
Rockland,2,Component 2: Asthma Hospital Discharge Data in New York State,ad14,"Asthma hospitalization rate per 10,000 - aged 12-17 years",32,"30,431",3.5,,,,2018-2020,SPARCS data as of August 2022
St. Lawrence,2,Component 2: Asthma Hospital Discharge Data in New York State,ad14,"Asthma hospitalization rate per 10,000 - aged 12-17 years",9,"7,753",3.9,,,Unstable Estimate,2018-2020,SPARCS data as of August 2022
Saratoga,2,Component 2: Asthma Hospital Discharge Data in New York State,ad14,"Asthma hospitalization rate per 10,000 - aged 12-17 years",s,"16,525",.,,,Data Suppressed,2018-2020,SPARCS data as of August 2022
Schenectady,2,Component 2: Asthma Hospital Discharge Data in New York State,ad14,"Asthma hospitalization rate per 10,000 - aged 12-17 years",11,"11,452",3.2,,,,2018-2020,SPARCS data as of August 2022
Schoharie,2,Component 2: Asthma Hospital Discharge Data in New York State,ad14,"Asthma hospitalization rate per 10,000 - aged 12-17 years",s,"1,998",.,,,Data Suppressed,2018-2020,SPARCS data as of August 2022
Schuyler,2,Component 2: Asthma Hospital Discharge Data in New York State,ad14,"Asthma hospitalization rate per 10,000 - aged 12-17 years",s,"1,197",.,,,Data Suppressed,2018-2020,SPARCS data as of August 2022
Seneca,2,Component 2: Asthma Hospital Discharge Data in New York State,ad14,"Asthma hospitalization rate per 10,000 - aged 12-17 years",s,"2,415",.,,,Data Suppressed,2018-2020,SPARCS data as of August 2022
Steuben,2,Component 2: Asthma Hospital Discharge Data in New York State,ad14,"Asthma hospitalization rate per 10,000 - aged 12-17 years",s,"7,289",.,,,Data Suppressed,2018-2020,SPARCS data as of August 2022
Suffolk,2,Component 2: Asthma Hospital Discharge Data in New York State,ad14,"Asthma hospitalization rate per 10,000 - aged 12-17 years",85,"115,923",2.4,,,,2018-2020,SPARCS data as of August 2022
Sullivan,2,Component 2: Asthma Hospital Discharge Data in New York State,ad14,"Asthma hospitalization rate per 10,000 - aged 12-17 years",s,"5,483",.,,,Data Suppressed,2018-2020,SPARCS data as of August 2022
Tioga,2,Component 2: Asthma Hospital Discharge Data in New York State,ad14,"Asthma hospitalization rate per 10,000 - aged 12-17 years",s,"3,806",.,,,Data Suppressed,2018-2020,SPARCS data as of August 2022
Tompkins,2,Component 2: Asthma Hospital Discharge Data in New York State,ad14,"Asthma hospitalization rate per 10,000 - aged 12-17 years",s,"5,262",.,,,Data Suppressed,2018-2020,SPARCS data as of August 2022
Ulster,2,Component 2: Asthma Hospital Discharge Data in New York State,ad14,"Asthma hospitalization rate per 10,000 - aged 12-17 years",s,"11,534",.,,,Data Suppressed,2018-2020,SPARCS data as of August 2022
Warren,2,Component 2: Asthma Hospital Discharge Data in New York State,ad14,"Asthma hospitalization rate per 10,000 - aged 12-17 years",s,"4,314",.,,,Data Suppressed,2018-2020,SPARCS data as of August 2022
Washington,2,Component 2: Asthma Hospital Discharge Data in New York State,ad14,"Asthma hospitalization rate per 10,000 - aged 12-17 years",s,"4,156",.,,,Data Suppressed,2018-2020,SPARCS data as of August 2022
Wayne,2,Component 2: Asthma Hospital Discharge Data in New York State,ad14,"Asthma hospitalization rate per 10,000 - aged 12-17 years",6,"6,726",3,,,Unstable Estimate,2018-2020,SPARCS data as of August 2022
Westchester,2,Component 2: Asthma Hospital Discharge Data in New York State,ad14,"Asthma hospitalization rate per 10,000 - aged 12-17 years",78,"76,840",3.4,,,,2018-2020,SPARCS data as of August 2022
Wyoming,2,Component 2: Asthma Hospital Discharge Data in New York State,ad14,"Asthma hospitalization rate per 10,000 - aged 12-17 years",s,"2,695",.,,,Data Suppressed,2018-2020,SPARCS data as of August 2022
Yates,2,Component 2: Asthma Hospital Discharge Data in New York State,ad14,"Asthma hospitalization rate per 10,000 - aged 12-17 years",s,"1,830",.,,,Data Suppressed,2018-2020,SPARCS data as of August 2022
Bronx,2,Component 2: Asthma Hospital Discharge Data in New York State,ad14,"Asthma hospitalization rate per 10,000 - aged 12-17 years",634,"113,806",18.6,,,,2018-2020,SPARCS data as of August 2022
Kings,2,Component 2: Asthma Hospital Discharge Data in New York State,ad14,"Asthma hospitalization rate per 10,000 - aged 12-17 years",544,"175,503",10.3,,,,2018-2020,SPARCS data as of August 2022
New York,2,Component 2: Asthma Hospital Discharge Data in New York State,ad14,"Asthma hospitalization rate per 10,000 - aged 12-17 years",253,"67,741",12.4,,,,2018-2020,SPARCS data as of August 2022
Queens,2,Component 2: Asthma Hospital Discharge Data in New York State,ad14,"Asthma hospitalization rate per 10,000 - aged 12-17 years",279,"142,336",6.5,,,,2018-2020,SPARCS data as of August 2022
Richmond,2,Component 2: Asthma Hospital Discharge Data in New York State,ad14,"Asthma hospitalization rate per 10,000 - aged 12-17 years",64,"36,531",5.8,,,,2018-2020,SPARCS data as of August 2022
Long Island,2,Component 2: Asthma Hospital Discharge Data in New York State,ad14,"Asthma hospitalization rate per 10,000 - aged 12-17 years",205,"220,602",3.1,,,,2018-2020,SPARCS data as of August 2022
New York City,2,Component 2: Asthma Hospital Discharge Data in New York State,ad14,"Asthma hospitalization rate per 10,000 - aged 12-17 years","1,774","535,917",11,,,,2018-2020,SPARCS data as of August 2022
Mid-Hudson,2,Component 2: Asthma Hospital Discharge Data in New York State,ad14,"Asthma hospitalization rate per 10,000 - aged 12-17 years",223,"187,523",4,,,,2018-2020,SPARCS data as of August 2022
Capital Region,2,Component 2: Asthma Hospital Discharge Data in New York State,ad14,"Asthma hospitalization rate per 10,000 - aged 12-17 years",40,"64,860",2.1,,,,2018-2020,SPARCS data as of August 2022
Mohawk Valley,2,Component 2: Asthma Hospital Discharge Data in New York State,ad14,"Asthma hospitalization rate per 10,000 - aged 12-17 years",16,"17,681",3,,,,2018-2020,SPARCS data as of August 2022
North Country,2,Component 2: Asthma Hospital Discharge Data in New York State,ad14,"Asthma hospitalization rate per 10,000 - aged 12-17 years",8,"19,294",1.4,,,Unstable Estimate,2018-2020,SPARCS data as of August 2022
Tug Hill Seaway,2,Component 2: Asthma Hospital Discharge Data in New York State,ad14,"Asthma hospitalization rate per 10,000 - aged 12-17 years",10,"17,573",1.9,,,,2018-2020,SPARCS data as of August 2022
Central NY,2,Component 2: Asthma Hospital Discharge Data in New York State,ad14,"Asthma hospitalization rate per 10,000 - aged 12-17 years",53,"72,884",2.4,,,,2018-2020,SPARCS data as of August 2022
Southern Tier,2,Component 2: Asthma Hospital Discharge Data in New York State,ad14,"Asthma hospitalization rate per 10,000 - aged 12-17 years",23,"28,122",2.7,,,,2018-2020,SPARCS data as of August 2022
Finger Lakes,2,Component 2: Asthma Hospital Discharge Data in New York State,ad14,"Asthma hospitalization rate per 10,000 - aged 12-17 years",130,"91,575",4.7,,,,2018-2020,SPARCS data as of August 2022
Western NY,2,Component 2: Asthma Hospital Discharge Data in New York State,ad14,"Asthma hospitalization rate per 10,000 - aged 12-17 years",101,"107,807",3.1,,,,2018-2020,SPARCS data as of August 2022
New York State (excluding NYC),2,Component 2: Asthma Hospital Discharge Data in New York State,ad14,"Asthma hospitalization rate per 10,000 - aged 12-17 years",809,"827,921",3.3,,,,2018-2020,SPARCS data as of August 2022
New York State,2,Component 2: Asthma Hospital Discharge Data in New York State,ad14,"Asthma hospitalization rate per 10,000 - aged 12-17 years","2,583","1,363,838",6.3,,,,2018-2020,SPARCS data as of August 2022
Albany,2,Component 2: Asthma Hospital Discharge Data in New York State,ad15,"Asthma hospitalization rate per 10,000 - aged 0-17 years",215,"56,516",12.7,,,,2018-2020,SPARCS data as of August 2022
Allegany,2,Component 2: Asthma Hospital Discharge Data in New York State,ad15,"Asthma hospitalization rate per 10,000 - aged 0-17 years",8,"9,406",2.8,,,Unstable Estimate,2018-2020,SPARCS data as of August 2022
Broome,2,Component 2: Asthma Hospital Discharge Data in New York State,ad15,"Asthma hospitalization rate per 10,000 - aged 0-17 years",118,"37,187",10.6,,,,2018-2020,SPARCS data as of August 2022
Cattaraugus,2,Component 2: Asthma Hospital Discharge Data in New York State,ad15,"Asthma hospitalization rate per 10,000 - aged 0-17 years",22,"16,999",4.3,,,,2018-2020,SPARCS data as of August 2022
Cayuga,2,Component 2: Asthma Hospital Discharge Data in New York State,ad15,"Asthma hospitalization rate per 10,000 - aged 0-17 years",19,"15,162",4.2,,,,2018-2020,SPARCS data as of August 2022
Chautauqua,2,Component 2: Asthma Hospital Discharge Data in New York State,ad15,"Asthma hospitalization rate per 10,000 - aged 0-17 years",33,"25,942",4.2,,,,2018-2020,SPARCS data as of August 2022
Chemung,2,Component 2: Asthma Hospital Discharge Data in New York State,ad15,"Asthma hospitalization rate per 10,000 - aged 0-17 years",27,"17,973",5,,,,2018-2020,SPARCS data as of August 2022
Chenango,2,Component 2: Asthma Hospital Discharge Data in New York State,ad15,"Asthma hospitalization rate per 10,000 - aged 0-17 years",6,"9,821",2,,,Unstable Estimate,2018-2020,SPARCS data as of August 2022
Clinton,2,Component 2: Asthma Hospital Discharge Data in New York State,ad15,"Asthma hospitalization rate per 10,000 - aged 0-17 years",s,"14,446",.,,,Data Suppressed,2018-2020,SPARCS data as of August 2022
Columbia,2,Component 2: Asthma Hospital Discharge Data in New York State,ad15,"Asthma hospitalization rate per 10,000 - aged 0-17 years",18,"10,292",5.8,,,,2018-2020,SPARCS data as of August 2022
Cortland,2,Component 2: Asthma Hospital Discharge Data in New York State,ad15,"Asthma hospitalization rate per 10,000 - aged 0-17 years",21,"9,202",7.6,,,,2018-2020,SPARCS data as of August 2022
Delaware,2,Component 2: Asthma Hospital Discharge Data in New York State,ad15,"Asthma hospitalization rate per 10,000 - aged 0-17 years",8,"7,451",3.6,,,Unstable Estimate,2018-2020,SPARCS data as of August 2022
Dutchess,2,Component 2: Asthma Hospital Discharge Data in New York State,ad15,"Asthma hospitalization rate per 10,000 - aged 0-17 years",287,"55,231",17.3,,,,2018-2020,SPARCS data as of August 2022
Erie,2,Component 2: Asthma Hospital Discharge Data in New York State,ad15,"Asthma hospitalization rate per 10,000 - aged 0-17 years",683,"186,492",12.2,,,,2018-2020,SPARCS data as of August 2022
Essex,2,Component 2: Asthma Hospital Discharge Data in New York State,ad15,"Asthma hospitalization rate per 10,000 - aged 0-17 years",s,"6,105",.,,,Data Suppressed,2018-2020,SPARCS data as of August 2022
Franklin,2,Component 2: Asthma Hospital Discharge Data in New York State,ad15,"Asthma hospitalization rate per 10,000 - aged 0-17 years",10,"9,728",3.4,,,,2018-2020,SPARCS data as of August 2022
Fulton,2,Component 2: Asthma Hospital Discharge Data in New York State,ad15,"Asthma hospitalization rate per 10,000 - aged 0-17 years",12,"10,862",3.7,,,,2018-2020,SPARCS data as of August 2022
Genesee,2,Component 2: Asthma Hospital Discharge Data in New York State,ad15,"Asthma hospitalization rate per 10,000 - aged 0-17 years",17,"11,793",4.8,,,,2018-2020,SPARCS data as of August 2022
Greene,2,Component 2: Asthma Hospital Discharge Data in New York State,ad15,"Asthma hospitalization rate per 10,000 - aged 0-17 years",22,"7,768",9.4,,,,2018-2020,SPARCS data as of August 2022
Hamilton,2,Component 2: Asthma Hospital Discharge Data in New York State,ad15,"Asthma hospitalization rate per 10,000 - aged 0-17 years",0,581,0,,,Unstable Estimate,2018-2020,SPARCS data as of August 2022
Herkimer,2,Component 2: Asthma Hospital Discharge Data in New York State,ad15,"Asthma hospitalization rate per 10,000 - aged 0-17 years",17,"12,760",4.4,,,,2018-2020,SPARCS data as of August 2022
Jefferson,2,Component 2: Asthma Hospital Discharge Data in New York State,ad15,"Asthma hospitalization rate per 10,000 - aged 0-17 years",46,"27,119",5.7,,,,2018-2020,SPARCS data as of August 2022
Lewis,2,Component 2: Asthma Hospital Discharge Data in New York State,ad15,"Asthma hospitalization rate per 10,000 - aged 0-17 years",10,"6,067",5.5,,,,2018-2020,SPARCS data as of August 2022
Livingston,2,Component 2: Asthma Hospital Discharge Data in New York State,ad15,"Asthma hospitalization rate per 10,000 - aged 0-17 years",15,"11,159",4.5,,,,2018-2020,SPARCS data as of August 2022
Madison,2,Component 2: Asthma Hospital Discharge Data in New York State,ad15,"Asthma hospitalization rate per 10,000 - aged 0-17 years",17,"13,586",4.2,,,,2018-2020,SPARCS data as of August 2022
Monroe,2,Component 2: Asthma Hospital Discharge Data in New York State,ad15,"Asthma hospitalization rate per 10,000 - aged 0-17 years",708,"154,773",15.2,,,,2018-2020,SPARCS data as of August 2022
Montgomery,2,Component 2: Asthma Hospital Discharge Data in New York State,ad15,"Asthma hospitalization rate per 10,000 - aged 0-17 years",16,"11,354",4.7,,,,2018-2020,SPARCS data as of August 2022
Nassau,2,Component 2: Asthma Hospital Discharge Data in New York State,ad15,"Asthma hospitalization rate per 10,000 - aged 0-17 years","1,061","292,351",12.1,,,,2018-2020,SPARCS data as of August 2022
Niagara,2,Component 2: Asthma Hospital Discharge Data in New York State,ad15,"Asthma hospitalization rate per 10,000 - aged 0-17 years",115,"42,185",9.1,,,,2018-2020,SPARCS data as of August 2022
Oneida,2,Component 2: Asthma Hospital Discharge Data in New York State,ad15,"Asthma hospitalization rate per 10,000 - aged 0-17 years",89,"48,695",6.1,,,,2018-2020,SPARCS data as of August 2022
Onondaga,2,Component 2: Asthma Hospital Discharge Data in New York State,ad15,"Asthma hospitalization rate per 10,000 - aged 0-17 years",372,"98,324",12.6,,,,2018-2020,SPARCS data as of August 2022
Ontario,2,Component 2: Asthma Hospital Discharge Data in New York State,ad15,"Asthma hospitalization rate per 10,000 - aged 0-17 years",22,"22,150",3.3,,,,2018-2020,SPARCS data as of August 2022
Orange,2,Component 2: Asthma Hospital Discharge Data in New York State,ad15,"Asthma hospitalization rate per 10,000 - aged 0-17 years",333,"97,379",11.4,,,,2018-2020,SPARCS data as of August 2022
Orleans,2,Component 2: Asthma Hospital Discharge Data in New York State,ad15,"Asthma hospitalization rate per 10,000 - aged 0-17 years",11,"7,886",4.6,,,,2018-2020,SPARCS data as of August 2022
Oswego,2,Component 2: Asthma Hospital Discharge Data in New York State,ad15,"Asthma hospitalization rate per 10,000 - aged 0-17 years",57,"24,781",7.7,,,,2018-2020,SPARCS data as of August 2022
Otsego,2,Component 2: Asthma Hospital Discharge Data in New York State,ad15,"Asthma hospitalization rate per 10,000 - aged 0-17 years",9,"9,547",3.1,,,Unstable Estimate,2018-2020,SPARCS data as of August 2022
Putnam,2,Component 2: Asthma Hospital Discharge Data in New York State,ad15,"Asthma hospitalization rate per 10,000 - aged 0-17 years",43,"19,646",7.3,,,,2018-2020,SPARCS data as of August 2022
Rensselaer,2,Component 2: Asthma Hospital Discharge Data in New York State,ad15,"Asthma hospitalization rate per 10,000 - aged 0-17 years",78,"31,069",8.4,,,,2018-2020,SPARCS data as of August 2022
Rockland,2,Component 2: Asthma Hospital Discharge Data in New York State,ad15,"Asthma hospitalization rate per 10,000 - aged 0-17 years",184,"91,959",6.7,,,,2018-2020,SPARCS data as of August 2022
St. Lawrence,2,Component 2: Asthma Hospital Discharge Data in New York State,ad15,"Asthma hospitalization rate per 10,000 - aged 0-17 years",32,"21,965",4.9,,,,2018-2020,SPARCS data as of August 2022
Saratoga,2,Component 2: Asthma Hospital Discharge Data in New York State,ad15,"Asthma hospitalization rate per 10,000 - aged 0-17 years",57,"46,083",4.1,,,,2018-2020,SPARCS data as of August 2022
Schenectady,2,Component 2: Asthma Hospital Discharge Data in New York State,ad15,"Asthma hospitalization rate per 10,000 - aged 0-17 years",70,"33,625",6.9,,,,2018-2020,SPARCS data as of August 2022
Schoharie,2,Component 2: Asthma Hospital Discharge Data in New York State,ad15,"Asthma hospitalization rate per 10,000 - aged 0-17 years",11,"5,458",6.7,,,,2018-2020,SPARCS data as of August 2022
Schuyler,2,Component 2: Asthma Hospital Discharge Data in New York State,ad15,"Asthma hospitalization rate per 10,000 - aged 0-17 years",s,"3,421",.,,,Data Suppressed,2018-2020,SPARCS data as of August 2022
Seneca,2,Component 2: Asthma Hospital Discharge Data in New York State,ad15,"Asthma hospitalization rate per 10,000 - aged 0-17 years",7,"6,850",3.4,,,Unstable Estimate,2018-2020,SPARCS data as of August 2022
